feature,mean_abs_shap
cat__weird_addl_46,0.0
cat__weird_addl_48,0.0
cat__weird_notice_-,0.0
cat__http_resp_mime_types_application/vnd.ms-cab-compressed,0.0
cat__http_resp_mime_types_-,0.0
cat__http_user_agent_Microsoft NCSI,0.0
cat__http_user_agent_Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0.0
cat__http_user_agent_Microsoft-CryptoAPI/10.0,0.0
cat__http_user_agent_Microsoft-Delivery-Optimization/10.0,0.0
cat__http_user_agent_Microsoft-WNS/10.0,0.0
cat__http_user_agent_Microsoft-Windows/10.0 UPnP/1.0,0.0
cat__http_user_agent_Microsoft-Windows/10.0 UPnP/1.0 Microsoft-DLNA DLNADOC/1.50,0.0
cat__http_user_agent_Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1),0.0
cat__http_user_agent_Mozilla/4.08 [en] (WinNT; I ;Nav),0.0
cat__http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0,0.0
cat__http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0.0
cat__http_user_agent_Mozilla/5.0 (SMART-TV; Linux; Tizen 2.3) AppleWebkit/538.1 (KHTML; like Gecko) SamsungBrowser/1.0 Safari/538.1,0.0
cat__http_user_agent_Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0,0.0
cat__http_orig_mime_types_application/xml,0.0
cat__http_user_agent_Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.30 (KHTML; like Gecko) Version/4.0 Oupeng/10.2.1.86910 Safari/534.30,0.0
cat__http_user_agent_Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,0.0
cat__http_user_agent_Mozilla/5.0 (iPhone; U; CPU iOS 2_0 like Mac OS X; en-us),0.0
cat__http_user_agent_Ruby,0.0
cat__http_user_agent_User-Agent: Microsoft-DLNA DLNADOC/1.50,0.0
cat__http_user_agent_Windows-Update-Agent/10.0.10011.16384 Client-Protocol/1.91,0.0
