campaign_id,nodes,edges,cyber_nodes,video_nodes,hub_nodes,mean_score,max_score
2256,1,0,0,0,1,0.039987583384749587,0.039987583384749587
2167,1,0,0,0,1,0.03998754494750703,0.03998754494750703
1725,1,0,0,0,1,0.03998718842095226,0.03998718842095226
1352,1,0,0,0,1,0.03998592565199713,0.03998592565199713
130,1,0,0,0,1,0.039985348091017885,0.039985348091017885
1466,1,0,0,0,1,0.03998456756320988,0.03998456756320988
2219,1,0,0,0,1,0.03998429950537637,0.03998429950537637
725,1,0,0,0,1,0.039983703820774597,0.039983703820774597
209,1,0,0,0,1,0.039983130769893044,0.039983130769893044
1075,1,0,0,0,1,0.0399829330171256,0.0399829330171256
1875,1,0,0,0,1,0.03998269833180466,0.03998269833180466
2260,1,0,0,0,1,0.03998237542904093,0.03998237542904093
1175,1,0,0,0,1,0.039982359691239186,0.039982359691239186
332,1,0,0,0,1,0.039982039039178054,0.039982039039178054
411,1,0,0,0,1,0.03998179208586399,0.03998179208586399
1908,1,0,0,0,1,0.039981641671827106,0.039981641671827106
1727,1,0,0,0,1,0.039979812350757746,0.039979812350757746
1639,1,0,0,0,1,0.03997899492758114,0.03997899492758114
2240,1,0,0,0,1,0.03997876196582768,0.03997876196582768
2116,1,0,0,0,1,0.039978302992599996,0.039978302992599996
676,1,0,0,0,1,0.03997829965166496,0.03997829965166496
2115,1,0,0,0,1,0.03997825164481483,0.03997825164481483
1343,1,0,0,0,1,0.039977691071841986,0.039977691071841986
1178,1,0,0,0,1,0.03997765501046557,0.03997765501046557
1649,1,0,0,0,1,0.03997628663502236,0.03997628663502236
109,1,0,0,0,1,0.03997618064513822,0.03997618064513822
876,1,0,0,0,1,0.03997606185090469,0.03997606185090469
2164,1,0,0,0,1,0.03997598751078958,0.03997598751078958
737,1,0,0,0,1,0.03997586767293643,0.03997586767293643
2324,1,0,0,0,1,0.03997571844025566,0.03997571844025566
1802,1,0,0,0,1,0.03997441179888733,0.03997441179888733
1750,1,0,0,0,1,0.039973408427514935,0.039973408427514935
1679,1,0,0,0,1,0.039973224405446005,0.039973224405446005
2568,1,0,0,0,1,0.039972932103774866,0.039972932103774866
429,1,0,0,0,1,0.03997245576645708,0.03997245576645708
1834,1,0,0,0,1,0.03997217465434991,0.03997217465434991
451,1,0,0,0,1,0.039972162279637645,0.039972162279637645
749,1,0,0,0,1,0.03997195490157726,0.03997195490157726
341,1,0,0,0,1,0.03997179533494433,0.03997179533494433
1545,1,0,0,0,1,0.03997149869583266,0.03997149869583266
1219,1,0,0,0,1,0.03997107999177998,0.03997107999177998
1715,1,0,0,0,1,0.039970915336979725,0.039970915336979725
612,1,0,0,0,1,0.039970772693626894,0.039970772693626894
1713,1,0,0,0,1,0.03996945495705771,0.03996945495705771
1092,1,0,0,0,1,0.03996884466636914,0.03996884466636914
155,1,0,0,0,1,0.03996768347581717,0.03996768347581717
42,1,0,0,0,1,0.03996745671985786,0.03996745671985786
106,1,0,0,0,1,0.03996634092218941,0.03996634092218941
82,1,0,0,0,1,0.039965537834851024,0.039965537834851024
2338,1,0,0,0,1,0.03996459085031964,0.03996459085031964
1400,1,0,0,0,1,0.03996340678875623,0.03996340678875623
714,1,0,0,0,1,0.039961590918650924,0.039961590918650924
1373,1,0,0,0,1,0.039959990615983126,0.039959990615983126
1800,1,0,0,0,1,0.0399586140896009,0.0399586140896009
2668,1,0,0,0,1,0.03995858051156742,0.03995858051156742
1513,1,0,0,0,1,0.03995841253286746,0.03995841253286746
625,1,0,0,0,1,0.03995774517832974,0.03995774517832974
1483,1,0,0,0,1,0.03995750995052149,0.03995750995052149
1613,1,0,0,0,1,0.039957464110613294,0.039957464110613294
2093,1,0,0,0,1,0.03995739172260318,0.03995739172260318
1911,1,0,0,0,1,0.039957273447806585,0.039957273447806585
2376,1,0,0,0,1,0.039956788686804634,0.039956788686804634
2315,1,0,0,0,1,0.03995542524766915,0.03995542524766915
1195,1,0,0,0,1,0.039955163926708274,0.039955163926708274
1268,1,0,0,0,1,0.039953826468139574,0.039953826468139574
950,1,0,0,0,1,0.03995192438781351,0.03995192438781351
1703,1,0,0,0,1,0.03995181823494438,0.03995181823494438
1826,1,0,0,0,1,0.03995181768180932,0.03995181768180932
687,1,0,0,0,1,0.03995167361768778,0.03995167361768778
538,1,0,0,0,1,0.03995163016487363,0.03995163016487363
1655,1,0,0,0,1,0.03995047877271774,0.03995047877271774
1413,1,0,0,0,1,0.03994965721825241,0.03994965721825241
37,1,0,0,0,1,0.03994960699175183,0.03994960699175183
2158,1,0,0,0,1,0.039948885118294725,0.039948885118294725
180,1,0,0,0,1,0.0399485129298823,0.0399485129298823
2559,1,0,0,0,1,0.03994618491938847,0.03994618491938847
1620,1,0,0,0,1,0.03994612614782791,0.03994612614782791
1619,1,0,0,0,1,0.039945550532695884,0.039945550532695884
2017,1,0,0,0,1,0.03994525520174032,0.03994525520174032
854,1,0,0,0,1,0.03994515497126524,0.03994515497126524
1112,1,0,0,0,1,0.03994513324788838,0.03994513324788838
1148,1,0,0,0,1,0.03994509369068877,0.03994509369068877
572,1,0,0,0,1,0.03994275225589052,0.03994275225589052
1793,1,0,0,0,1,0.039941701438599035,0.039941701438599035
1925,1,0,0,0,1,0.03994153176167209,0.03994153176167209
1431,1,0,0,0,1,0.039940766965608596,0.039940766965608596
1709,1,0,0,0,1,0.03994042315742205,0.03994042315742205
779,1,0,0,0,1,0.03994032457392092,0.03994032457392092
2048,1,0,0,0,1,0.0399392050337789,0.0399392050337789
1557,1,0,0,0,1,0.03993852412221204,0.03993852412221204
1217,1,0,0,0,1,0.03993729127879689,0.03993729127879689
776,1,0,0,0,1,0.03993616428886804,0.03993616428886804
